22.80;100901.00;8.6.2022;7:53:45;7.00;546579.69;99351.32;0.50;0.15
22.40;100822.00;8.6.2022;7:53:46;7.00;546579.69;99351.34;0.30;0.13
22.50;100828.00;8.6.2022;7:53:47;8.00;546579.69;99351.34;0.50;0.39
22.50;100813.00;8.6.2022;7:53:48;8.00;546579.69;99351.32;0.50;0.06
22.50;100828.00;8.6.2022;7:53:49;8.00;546579.63;99351.30;0.40;0.06
22.50;100825.00;8.6.2022;7:53:50;8.00;546579.56;99351.28;0.30;0.09
22.50;100833.00;8.6.2022;7:53:51;7.00;546579.50;99351.27;0.10;0.07
22.50;100816.00;8.6.2022;7:53:52;8.00;546579.50;99351.27;0.00;0.33
22.40;100809.00;8.6.2022;7:53:53;7.00;546579.50;99351.27;0.10;0.06
22.40;100808.00;8.6.2022;7:53:54;7.00;546579.50;99351.25;0.30;0.35
22.60;100819.00;8.6.2022;7:53:55;7.00;546579.50;99351.22;0.20;1.39
22.90;100922.00;8.6.2022;7:53:56;8.00;546579.56;99351.20;0.00;4.11
23.00;100952.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.90;100940.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.80;100921.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.80;100926.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.80;100923.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.80;100928.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.80;100926.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100922.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100920.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100921.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100916.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100924.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100923.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100925.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100926.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100927.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100920.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100930.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.90;100964.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.80;100947.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.80;100940.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.60;100912.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100913.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100922.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100916.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100918.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100918.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100917.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100927.00;8.6.2022;7:53:57;8.00;546579.63;99351.14;-0.20;4.11
22.70;100917.00;8.6.2022;7:54:26;8.00;546579.75;99351.55;-0.20;0.89
22.70;100936.00;8.6.2022;7:54:28;8.00;546580.00;99351.53;-0.20;1.31
22.60;100910.00;8.6.2022;7:54:29;8.00;546580.00;99351.51;-0.20;0.93
22.60;100918.00;8.6.2022;7:54:30;7.00;546579.94;99351.52;2.60;0.69
22.60;100922.00;8.6.2022;7:54:31;7.00;546579.94;99351.53;2.60;0.44
22.60;100909.00;8.6.2022;7:54:32;7.00;546579.94;99351.51;3.10;0.30
22.60;100911.00;8.6.2022;7:54:33;8.00;546580.06;99351.48;4.60;0.76
22.50;100911.00;8.6.2022;7:54:34;9.00;546580.06;99351.48;5.10;1.72
